Checked,Ion,Charge,Molecular Weight,m/z,RT [min],FWHM [min],# MI,Area,Parent Area [%],Study File ID
FALSE,[M-H]-1,-1,647.62269,646.61542,12.549,0.088,2,1915044.043,51.263,F1
FALSE,[M-H]-1,-1,746.51149,745.50421,7.602,0.066,3,3574752.683,96.311,F1
FALSE,[M-H]-1,-1,627.35396,626.34668,1.131,0.093,2,3675814.087,100.0,F1
FALSE,[M-H]-1,-1,737.5013,736.49402,8.147,0.099,2,1787012.124,48.827,F1
FALSE,[M-H]-1,-1,721.50606,720.49878,8.469,0.073,2,2568448.669,71.068,F1
FALSE,[M-H]-1,-1,781.52748,780.5202,7.938,0.048,4,3589775.293,100.0,F1
FALSE,[M-H]-1,-1,553.33845,552.33118,1.094,0.087,4,3587482.923,100.0,F1
FALSE,[M-H]-1,-1,1048.55501,1047.54773,1.122,0.042,3,1630194.309,45.447,F1
FALSE,[M-H]-1,-1,623.54957,622.5423,9.567,0.071,3,3547193.809,100.0,F1
FALSE,[M-H]-1,-1,1549.1291,1548.12183,8.643,0.134,5,3528366.259,100.0,F1
FALSE,[M-H]-1,-1,893.61488,892.6076,8.565,0.106,3,3521439.661,100.0,F1
FALSE,[M-H]-1,-1,815.54719,814.53992,8.584,0.068,2,3515624.557,100.0,F1
FALSE,[M-H]-1,-1,837.6291,836.62183,10.187,0.078,2,100524.2378,100.0,F1
FALSE,[M-H]-1,-1,833.52266,832.51538,7.493,0.117,3,2281930.629,100.0,F1
FALSE,[M-H]-1,-1,825.59004,824.58276,8.836,0.068,3,3488467.091,100.0,F1
FALSE,[M-H]-1,-1,755.54811,754.54083,8.977,0.066,5,3481594.396,100.0,F1
FALSE,[M-H]-1,-1,801.62636,800.61908,12.418,0.102,4,1536054.53,44.156,F1
FALSE,[M-H]-1,-1,827.56831,826.56104,8.598,0.058,3,3420942.605,100.0,F1
FALSE,[M-H]-1,-1,555.33357,554.32629,1.99,0.077,5,1217249.395,35.894,F1
FALSE,[M-H]-1,-1,681.5843,680.57703,11.448,0.085,5,3402039.936,100.0,F1
FALSE,[M-H]-1,-1,703.51704,702.50977,9.117,0.09,4,1796745.51,53.418,F1
FALSE,[M-H]-1,-1,308.11961,307.11234,0.56,0.034,2,352398.969,10.805,F1
FALSE,[M-H]-1,-1,842.58766,841.58038,8.338,0.09,2,2710389.439,100.0,F1
